FE,mean_best,std_best,log10_mean_best
151,0.3620002384164192,0.41468973709621854,-0.4412911434367206
252,0.14328577956550895,0.2700671009121163,-0.8437969091328845
353,0.04141860101482599,0.0770469668638947,-1.382804574245128
454,0.014132409778149987,0.03250546809789248,-1.8497837784117446
555,0.012970029914313563,0.03269654466191899,-1.8870590222500503
656,0.0019935393898804625,0.004791862555249631,-2.700375178793299
757,0.0017124723649423572,0.004375470542389813,-2.766376428215029
858,0.00048826172353257883,0.0010975524501353408,-3.3113473201765506
959,3.07963360419417e-05,7.386031319858767e-05,-4.511500950104122
1060,2.8161863591287887e-05,7.392933071232943e-05,-4.550338609450619
1161,2.5361869351632417e-05,7.458137476194729e-05,-4.595818738993049
1262,2.7656282088375107e-06,8.098693330410395e-06,-5.558206203728886
1363,6.994362296765954e-07,1.9635646601501695e-06,-6.1552518756854635
1464,4.7526844321705575e-07,1.3746383983947816e-06,-6.323061020949672
1565,2.4079534804476373e-07,7.054330707877049e-07,-6.618351907522205
1666,2.9454779871303323e-08,7.953149655077751e-08,-7.530844218592069
1767,2.6935546445825215e-08,8.003996180673623e-08,-7.569674209425646
1868,2.6511373160397932e-08,7.917655151631175e-08,-7.576567777338987
1969,4.485806924915817e-09,1.3227830093059984e-08,-8.348159422961738
2070,1.1389964550553304e-09,3.393317448201613e-09,-8.943477627591053
2171,2.799752832310888e-10,8.372281637541882e-10,-9.552880307336922
2272,1.866626815018043e-10,5.592625576864984e-10,-9.728942499607664
2373,4.9384882168442784e-11,1.4790712606426024e-10,-10.306405978113988
2474,2.5083279011786513e-12,7.488468709910232e-12,-11.600615690981632
2575,6.070803394351309e-14,1.791157209757766e-13,-13.216753831717883
2676,2.0930593755501962e-14,6.002365449139326e-14,-13.67921845149502
2777,2.8939327251217725e-15,7.960025964207162e-15,-14.538511569087053
2878,2.8864877547627462e-15,7.96219164030677e-15,-14.53963028055241
2979,8.600413965556839e-16,2.357857826019021e-15,-15.065480644264548
3080,2.0180728081174311e-16,5.946126358189583e-16,-15.69506316932149
3181,1.6023037854992508e-17,4.5919964531573947e-17,-16.795255141273945
3282,5.538745220725307e-18,1.60261958673186e-17,-17.256588611704366
3383,3.4161069618572147e-18,1.006124291465294e-17,-17.46646853955882
3484,2.0787181875662407e-18,6.218821067888819e-18,-17.682204384108037
3585,1.9699558234989678e-19,5.872391390077322e-19,-18.705543512836247
3686,1.593799880813494e-19,4.751798301344741e-19,-18.79756620998789
3787,4.60624188660433e-21,1.2960315722494583e-20,-20.336653259758844
3888,3.2696544510327953e-22,9.298321148126594e-22,-21.48549814273402
3989,3.253805430380455e-22,9.301526731579904e-22,-21.48760842037228
4090,8.145937583533158e-23,2.307276921422297e-22,-22.089058921923847
4191,5.27540767238208e-23,1.5743564934805166e-22,-22.277743973371546
4292,2.958914963643916e-24,8.827539384964954e-24,-23.52886751586366
4393,1.2222924930742248e-24,3.635963686348368e-24,-23.912824855527113
4494,7.42372520104273e-25,2.2210944750523806e-24,-24.129378112473404
4595,2.044311770532178e-25,6.115808371016368e-25,-24.68945287081887
4696,3.0620623344880265e-26,9.151358123220043e-26,-25.513985972602935
4797,3.053368224495876e-26,9.154235905340553e-26,-25.515220818294353
4898,7.859312730342472e-27,2.3545108924274564e-26,-26.104615429847343
4999,4.103606357748291e-27,1.2308177300114664e-26,-26.38683430599982
5100,4.8011122397640525e-29,1.4336844391466603e-28,-28.31865814103346
5201,4.7968289715677354e-29,1.4338267885875283e-28,-28.319045765801043
5302,2.009068488226544e-29,6.00044443113102e-29,-28.697005258099
5403,4.426557384179623e-30,1.3160952780074086e-29,-29.353933901382003
5504,1.3835880720477902e-31,4.150764216143371e-31,-30.858993190706645
5605,1.3835880720477902e-31,4.150764216143371e-31,-30.858993190706645
5706,1.2634100435180266e-32,3.79023013055408e-32,-31.898455674990235
5807,6.162975822039155e-33,1.8488927466117464e-32,-32.21020953604599
5908,6.162975822039155e-33,1.8488927466117464e-32,-32.21020953604599
6009,0.0,0.0,-inf
6110,0.0,0.0,-inf
6211,0.0,0.0,-inf
6312,0.0,0.0,-inf
6413,0.0,0.0,-inf
6514,0.0,0.0,-inf
6615,0.0,0.0,-inf
6716,0.0,0.0,-inf
6817,0.0,0.0,-inf
6918,0.0,0.0,-inf
7019,0.0,0.0,-inf
7120,0.0,0.0,-inf
7221,0.0,0.0,-inf
7322,0.0,0.0,-inf
7423,0.0,0.0,-inf
7524,0.0,0.0,-inf
7625,0.0,0.0,-inf
7726,0.0,0.0,-inf
