FE,mean_best,std_best,log10_mean_best
151,0.38222928790474625,0.3943300186025385,-0.4176760386622369
252,0.10035007110659629,0.10240001163759231,-0.9984823154416531
353,0.029296709340925924,0.03655775463728403,-1.533181157643675
454,0.021529896458530078,0.0344013597636401,-1.666958058778332
555,0.010979639448652614,0.016132101372210213,-1.9594119210909884
656,0.006819005625837903,0.010298735092704901,-2.166278951252192
757,0.0019367031648498494,0.0029158766508685613,-2.7129369377457544
858,0.000733605054222027,0.0010802288985557002,-3.1345376852262916
959,0.0003393438682889641,0.0009035498053344551,-3.46935999380514
1060,0.00014646173384218992,0.00038004375538693464,-3.8342758289070846
1161,9.643837500986126e-06,1.105982638078685e-05,-5.0157501161108025
1262,4.134793437690669e-06,6.715139580834504e-06,-5.383546181664487
1363,1.8536243228627664e-06,3.849567736375539e-06,-5.7319782804611865
1464,4.515298355552688e-07,8.202254918128729e-07,-6.345313547700603
1565,1.6803018229170761e-07,4.5359066480547603e-07,-6.774612701456209
1666,4.7295698861852725e-09,8.957472562743569e-09,-8.325178352824517
1767,2.164070010247801e-09,3.2811173590841503e-09,-8.664728693393347
1868,1.1425866838300838e-09,2.2475208751898747e-09,-8.9421108416905
1969,2.0752683283618617e-10,3.241226013115276e-10,-9.682925741846931
2070,1.1874663063625002e-10,1.95520535006947e-10,-9.925378704371257
2171,7.795126724383766e-11,1.8551671599768556e-10,-10.108176820147591
2272,2.389089059313859e-12,3.6895821793717854e-12,-11.621767660527372
2373,7.852251974693729e-13,1.2549516597565062e-12,-12.105005772563722
2474,3.159012652958752e-13,7.057319809136792e-13,-12.500448634588944
2575,2.882324732197262e-14,6.58462493024291e-14,-13.540257091718889
2676,1.1725461192172776e-14,2.7355357869477172e-14,-13.9308700663718
2777,1.4537314915594512e-15,2.3342428435956794e-15,-14.837515801525589
2878,1.0323362354778405e-15,2.1238514614198026e-15,-14.986178828455314
2979,5.33806079929778e-16,1.4921863158715812e-15,-15.27261648400502
3080,1.2021085440447079e-16,2.841010926661943e-16,-15.920056316067601
3181,1.1133685358089394e-17,1.9060465941069735e-17,-16.95336105617228
3282,4.758766821953937e-18,1.0725080799865035e-17,-17.32250557497004
3383,2.861113007297728e-18,7.490007811547242e-18,-17.543464988235783
3484,1.8249982609991372e-19,4.539408141975529e-19,-18.738737545037008
3585,5.701826552198527e-20,1.5941300142720565e-19,-19.24398599792954
3686,4.230376085984974e-20,1.1758265987251122e-19,-19.37362102155934
3787,1.1042894329042147e-20,2.9709400212105033e-20,-19.956917083636757
3888,6.203856647367754e-22,1.0188457433248258e-21,-21.207338245993256
3989,4.840398213364869e-22,9.938969655741027e-22,-21.315118908034734
4090,8.683157580955862e-23,1.8791091704035087e-22,-22.061322317378956
4191,3.062912303640454e-23,5.739568129415921e-23,-22.513865437600955
4292,6.9392733580659e-24,1.5823183652656772e-23,-23.15868600405587
4393,2.5381312849895104e-24,7.127961363910736e-24,-23.595485917752786
4494,1.3390626178415302e-25,2.3121578649965233e-25,-24.87319911384147
4595,6.836676223866158e-26,1.245829625930312e-25,-25.165154987237287
4696,1.9528780492071677e-26,3.449613084714362e-26,-25.709324876123322
4797,4.0907639487303265e-27,7.945144385772802e-27,-26.388195580076687
4898,7.785576422417267e-28,1.748812236302067e-27,-27.108709227950364
4999,5.597128359914452e-28,1.4121465759547274e-27,-27.252034733228463
5100,8.144865586890506e-29,1.3112503980929499e-28,-28.089116078372466
5201,2.550362654676243e-29,4.538792571539271e-29,-28.593398059673405
5302,2.9791825123737273e-30,6.39993523192983e-30,-29.525902889974358
5403,2.741291645643016e-30,6.433238068334669e-30,-29.562044757471988
5504,5.374114916818143e-31,1.6122344750454427e-30,-30.26969305111342
