Algorytm,P1,Funkcja testowa,Liczba parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum,Odchylenie std parametrów,Wartość funkcji celu,Wartość funkcji celu (najgorsza),Odchylenie std funkcji celu
GTOA,10000,Sphere,2,5,10,"(0.0800, -0.0387)","(0.3284, 0.2629)",7.891e-03,9.909e-01,0.289
GTOA,10000,Sphere,2,10,10,"(0.0004, 0.0002)","(0.0098, 0.0080)",2.329e-07,1.236e-03,0.000
GTOA,10000,Sphere,2,20,10,"(0.0000, -0.0000)","(0.0000, 0.0000)",5.090e-15,1.227e-12,0.000
GTOA,10000,Sphere,2,40,10,"(-0.0000, 0.0000)","(0.0000, 0.0000)",9.596e-32,2.624e-27,0.000
GTOA,10000,Sphere,2,60,10,"(0.0000, 0.0000)","(0.0000, 0.0000)",1.093e-47,2.461e-43,0.000
GTOA,10000,Sphere,2,80,10,"(0.0000, 0.0000)","(0.0000, 0.0000)",9.297e-65,6.362e-58,0.000
GTOA,10000,Sphere,2,5,20,"(0.0233, -0.0268)","(0.1014, 0.0695)",1.262e-03,6.650e-02,0.018
GTOA,10000,Sphere,2,10,20,"(-0.0002, -0.0001)","(0.0013, 0.0010)",2.669e-08,1.272e-05,0.000
GTOA,10000,Sphere,2,20,20,"(0.0000, 0.0000)","(0.0000, 0.0000)",4.915e-18,6.078e-14,0.000
GTOA,10000,Sphere,2,40,20,"(-0.0000, 0.0000)","(0.0000, 0.0000)",6.819e-34,1.223e-30,0.000
GTOA,10000,Sphere,2,60,20,"(-0.0000, -0.0000)","(0.0000, 0.0000)",4.110e-52,3.280e-47,0.000
GTOA,10000,Sphere,2,80,20,"(0.0000, -0.0000)","(0.0000, 0.0000)",1.556e-69,1.175e-64,0.000
GTOA,10000,Sphere,2,5,40,"(-0.0342, 0.0152)","(0.0453, 0.0652)",1.404e-03,1.727e-02,0.005
GTOA,10000,Sphere,2,10,40,"(-0.0000, 0.0000)","(0.0003, 0.0004)",3.077e-09,1.737e-06,0.000
GTOA,10000,Sphere,2,20,40,"(-0.0000, -0.0000)","(0.0000, 0.0000)",5.015e-18,9.053e-15,0.000
GTOA,10000,Sphere,2,40,40,"(-0.0000, 0.0000)","(0.0000, 0.0000)",1.825e-35,2.696e-31,0.000
GTOA,10000,Sphere,2,60,40,"(-0.0000, -0.0000)","(0.0000, 0.0000)",2.890e-53,3.523e-49,0.000
GTOA,10000,Sphere,2,80,40,"(-0.0000, -0.0000)","(0.0000, 0.0000)",5.879e-71,4.762e-68,0.000
GTOA,10000,Sphere,2,5,80,"(-0.0101, 0.0039)","(0.0221, 0.0212)",1.170e-04,3.245e-03,0.001
GTOA,10000,Sphere,2,10,80,"(0.0000, -0.0000)","(0.0001, 0.0001)",8.685e-10,2.353e-08,0.000
GTOA,10000,Sphere,2,20,80,"(0.0000, -0.0000)","(0.0000, 0.0000)",1.661e-18,1.453e-16,0.000
GTOA,10000,Sphere,2,40,80,"(0.0000, -0.0000)","(0.0000, 0.0000)",1.666e-37,1.172e-34,0.000
GTOA,10000,Sphere,2,60,80,"(0.0000, -0.0000)","(0.0000, 0.0000)",1.808e-55,1.875e-52,0.000
GTOA,10000,Sphere,2,80,80,"(-0.0000, 0.0000)","(0.0000, 0.0000)",6.585e-57,1.186e-54,0.000
GTOA,25000,Sphere,5,5,10,"(-0.0861, -0.5313, -0.0116, -0.1538, -0.1525)","(2.5186, 1.0090, 1.0639, 0.6763, 1.2812)",3.367e-01,8.616e+01,24.841
GTOA,25000,Sphere,5,10,10,"(-0.0001, -0.0024, -0.0013, -0.0028, 0.0021)","(0.1081, 0.0244, 0.0301, 0.0345, 0.0550)",1.969e-05,1.613e-01,0.047
GTOA,25000,Sphere,5,20,10,"(-0.0000, -0.0000, 0.0000, -0.0000, 0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",2.725e-12,2.920e-08,0.000
GTOA,25000,Sphere,5,40,10,"(-0.0000, 0.0000, 0.0000, -0.0000, 0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",8.846e-27,5.025e-21,0.000
GTOA,25000,Sphere,5,60,10,"(0.0000, 0.0000, -0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",1.425e-40,8.691e-34,0.000
GTOA,25000,Sphere,5,80,10,"(0.0000, -0.0000, -0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",4.310e-54,1.692e-47,0.000
