Algorytm,Funkcja testowa,Liczba szukanych parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum (wektor),Odchylenie std. parametrów (wektor),"Współczynnik zmienności parametrów (wektor, %)",Użyto std zamiast CV dla współrzędnych (bool per coord),Wartość funkcji celu (min),Odchylenie std. wartości funkcji celu,Współczynnik zmienności wartości funkcji celu (%),Użyto std zamiast CV dla wartości funkcji (bool),Najgorsze rozwiązanie (wartość funkcji),Najgorsze rozwiązanie (wektor)
GTOA,Rosenbrock,10,5,10,"[-0.03703227009869714, 0.00835811829514592, 0.03974122043488826, 0.00019558558163232376, -0.010144358752098244, -0.0025782942676196435, 0.01055074785699045, -0.03489585105590169, 0.014303663419781412, 0.037789298556662215]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",9.4931842832486,0.0,0.0,False,9.4931842832486,"[-0.03703227009869714, 0.00835811829514592, 0.03974122043488826, 0.00019558558163232376, -0.010144358752098244, -0.0025782942676196435, 0.01055074785699045, -0.03489585105590169, 0.014303663419781412, 0.037789298556662215]"
GTOA,Rosenbrock,10,10,10,"[-0.0020291298725761183, 0.010865962492992112, 0.005239230005280437, -0.001183476413163403, 0.0031487183016055786, 0.004248200087051035, 0.0005474971685438348, 0.003596088008890605, -0.003971266274968083, -0.0009298992188247643]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.979636265930255,0.0,0.0,False,8.979636265930255,"[-0.0020291298725761183, 0.010865962492992112, 0.005239230005280437, -0.001183476413163403, 0.0031487183016055786, 0.004248200087051035, 0.0005474971685438348, 0.003596088008890605, -0.003971266274968083, -0.0009298992188247643]"
GTOA,Rosenbrock,10,20,10,"[0.003427212671332432, 0.008306451640669583, 0.003164707376183253, -0.00010812554730641659, 0.005834062712238149, 0.007636615545790763, 0.0004842135387440149, 0.010257438484743685, -0.0036542540743181302, -0.00836063825352063]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.965593668123331,0.0,0.0,False,8.965593668123331,"[0.003427212671332432, 0.008306451640669583, 0.003164707376183253, -0.00010812554730641659, 0.005834062712238149, 0.007636615545790763, 0.0004842135387440149, 0.010257438484743685, -0.0036542540743181302, -0.00836063825352063]"
GTOA,Rosenbrock,10,40,10,"[-6.891779842289306e-05, 0.004895506518763776, 0.006347878146686061, 0.002159629961809749, 0.005764344526988045, 0.00806465092718997, 0.002473468193350628, 0.011941184194354915, -0.0012429237159441021, -0.00938713103713368]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.960091838023072,0.0,0.0,False,8.960091838023072,"[-6.891779842289306e-05, 0.004895506518763776, 0.006347878146686061, 0.002159629961809749, 0.005764344526988045, 0.00806465092718997, 0.002473468193350628, 0.011941184194354915, -0.0012429237159441021, -0.00938713103713368]"
GTOA,Rosenbrock,10,60,10,"[-0.0005246121616091241, 0.004209166141635995, 0.006542203562451943, 0.0024023720649038608, 0.00554954937642029, 0.007843044623334697, 0.002661813669273922, 0.011762056253423046, -0.0008474483972687213, -0.009224620718401175]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.95997228584533,0.0,0.0,False,8.95997228584533,"[-0.0005246121616091241, 0.004209166141635995, 0.006542203562451943, 0.0024023720649038608, 0.00554954937642029, 0.007843044623334697, 0.002661813669273922, 0.011762056253423046, -0.0008474483972687213, -0.009224620718401175]"
GTOA,Rosenbrock,10,80,10,"[-0.0016733328043833395, 0.005260157817339129, 0.007623511891741232, 0.0023748093317061424, 0.005553947223293678, 0.007941607273567996, 0.002919133008542578, 0.011512832529547391, -0.0010333369840614093, -0.008571264162778628]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.959313416614604,0.0,0.0,False,8.959313416614604,"[-0.0016733328043833395, 0.005260157817339129, 0.007623511891741232, 0.0023748093317061424, 0.005553947223293678, 0.007941607273567996, 0.002919133008542578, 0.011512832529547391, -0.0010333369840614093, -0.008571264162778628]"
GTOA,Rosenbrock,10,5000,10,"[-0.0030782475414070005, 0.005388188639372399, 0.00878489169117433, 0.002660182081777276, 0.005410107706736072, 0.00790056076019657, 0.0033702128089224104, 0.011311628802987635, -0.0007551667174488667, -0.008032963322054634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[False, False, False, False, False, False, False, False, False, False]",8.959106882589957,0.0,0.0,False,8.959106882589957,"[-0.0030782475414070005, 0.005388188639372399, 0.00878489169117433, 0.002660182081777276, 0.005410107706736072, 0.00790056076019657, 0.0033702128089224104, 0.011311628802987635, -0.0007551667174488667, -0.008032963322054634]"
GTOA,Rosenbrock,10,5,20,"[0.023015348637200294, -0.004709493496169323, -0.03514608525884046, 0.04863751274630094, -0.03406952996427881, -0.011406361529674402, 0.0024199049625559313, 0.009913725589157844, -0.035891031334073835, 0.005563196437095068]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",9.722667656926921,0.0,0.0,False,9.722667656926921,"[0.023015348637200294, -0.004709493496169323, -0.03514608525884046, 0.04863751274630094, -0.03406952996427881, -0.011406361529674402, 0.0024199049625559313, 0.009913725589157844, -0.035891031334073835, 0.005563196437095068]"
GTOA,Rosenbrock,10,10,20,"[0.03439059482454593, 0.0051599921584905605, 0.0035174296275955674, -0.0007598713314382659, 0.005871905673352716, -0.004037770717846387, 0.0008356939321158628, 0.014374983362157513, 0.009894505045859562, 0.006920680055489169]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.905818690225809,0.0,0.0,False,8.905818690225809,"[0.03439059482454593, 0.0051599921584905605, 0.0035174296275955674, -0.0007598713314382659, 0.005871905673352716, -0.004037770717846387, 0.0008356939321158628, 0.014374983362157513, 0.009894505045859562, 0.006920680055489169]"
GTOA,Rosenbrock,10,20,20,"[0.0729747383305615, 0.009498941670277315, -0.004198001071774526, 0.0003256099593578443, 0.005297628022461429, -0.0051707644426993195, 0.007091499025422061, 0.026945670117098548, 0.021706479468765694, 0.008185256423708868]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False, False, False, False, False, False, False]",8.874187163439927,0.0,0.0,False,8.874187163439927,"[0.0729747383305615, 0.009498941670277315, -0.004198001071774526, 0.0003256099593578443, 0.005297628022461429, -0.0051707644426993195, 0.007091499025422061, 0.026945670117098548, 0.021706479468765694, 0.008185256423708868]"
